sleep_hours,steps,calories,water_intake_ml,stress_level,heart_rate_bpm,health_score,sleep_score,step_score,calorie_score,water_score,stress_score,hr_score,active_sleep_score,recovery_score,hydration_ratio,cardio_index,lifestyle_score,cal_per_1k_steps,sleep_per_stress,water_per_cal,sleep_hours_sq,stress_level_sq,steps_log,sleep_category,activity_category,stress_category
8.32,4206,2145,1216,4,89.1,67.68,95.19999999999999,42.059999999999995,92.75,40.53333333333333,66.66666666666666,51.220000000000006,40.04111999999999,63.466666666666654,566.8997668997669,21.543132,64.73833333333333,509.98573466476455,2.08,0.566899766899767,69.22240000000001,16,8.344505083590521,3.0,1.0,1.0
8.17,13332,2103,2623,1,72.1,94.84,97.45,100.0,94.85,87.43333333333332,100.0,81.82000000000001,97.45,97.45,1247.2658107465525,81.82000000000001,93.59222222222222,157.74077407740774,8.17,1.2472658107465526,66.74889999999999,1,9.497997444115459,3.0,4.0,0.0
7.1,9976,2275,2658,2,82.8,86.13,86.5,99.76,86.25,88.6,88.88888888888889,62.56,86.2924,76.88888888888889,1168.3516483516485,62.40985600000001,85.4264814814815,228.04731355252605,3.55,1.1683516483516483,50.41,4,9.208037722913508,3.0,3.0,0.0
8.69,7969,2689,2228,10,52.3,70.8,89.65,79.69000000000001,65.55,74.26666666666667,0.0,82.53999999999999,71.44208500000002,0.0,828.560803272592,65.776126,65.28277777777778,337.4325511356506,0.869,0.8285608032725921,75.5161,100,8.98343977178426,3.0,3.0,2.0
7.7,12771,2068,1679,9,52.8,76.4,95.5,100.0,96.6,55.96666666666666,11.11111111111111,83.44,95.5,10.61111111111111,811.8955512572534,83.44,73.76962962962962,161.9293712316968,0.8555555555555556,0.8118955512572534,59.290000000000006,81,9.455010553834672,3.0,4.0,2.0
5.71,8478,1955,1612,3,89.2,69.28,65.65,84.78,97.75,53.733333333333334,77.77777777777779,51.03999999999999,55.65807000000001,51.061111111111124,824.5524296675192,43.271712,71.78851851851852,230.59683887709366,1.9033333333333333,0.8245524296675192,32.6041,9,9.045347797304004,1.0,3.0,0.0
7.55,7916,2603,2816,8,73.2,71.87,93.25,79.16,69.85,93.86666666666666,22.22222222222222,79.83999999999999,73.8167,20.72222222222222,1081.8286592393392,63.20134399999999,73.03148148148148,328.8276907529055,0.94375,1.0818286592393391,57.0025,64,8.976767625171433,3.0,3.0,2.0
5.56,6019,2387,1293,6,73.2,57.01,63.39999999999999,60.19,80.65,43.1,44.44444444444444,79.83999999999999,38.16045999999999,28.177777777777774,541.6841223292836,48.05569599999999,61.9374074074074,396.57750456886527,0.9266666666666666,0.5416841223292836,30.913599999999995,36,8.702842538302868,1.0,2.0,1.0
8.32,9746,1872,2839,10,58.6,74.36,95.19999999999999,97.46000000000001,93.6,94.63333333333334,0.0,93.88,92.78191999999999,0.0,1516.5598290598289,91.495448,79.12888888888888,192.0788015596142,0.8320000000000001,1.516559829059829,69.22240000000001,100,9.18471482433721,3.0,3.0,2.0
6.93,9430,2002,2101,4,73.2,80.32,83.94999999999999,94.3,99.9,70.03333333333333,66.66666666666666,79.83999999999999,79.16484999999999,55.966666666666654,1049.4505494505495,75.28911999999998,82.44833333333331,212.30116648992578,1.7325,1.0494505494505495,48.024899999999995,16,9.151757414543885,2.0,3.0,1.0
6.72,8044,2078,2142,10,58.2,65.87,80.8,80.44,96.1,71.39999999999999,0.0,93.16000000000001,64.99552,0.0,1030.7988450433108,74.937904,70.31666666666668,258.3291894579811,0.6719999999999999,1.030798845043311,45.15839999999999,100,8.992806059426483,2.0,3.0,2.0
5.98,5630,2145,1175,4,86.2,61.44,69.7,56.3,92.75,39.166666666666664,66.66666666666666,56.43999999999999,39.2411,46.46666666666666,547.7855477855478,31.775719999999993,63.503888888888895,380.9946714031972,1.495,0.5477855477855478,35.760400000000004,16,8.636042325254618,1.0,2.0,1.0
8.83,8390,1457,2112,8,104.7,65.06,87.55,83.89999999999999,72.85,70.39999999999999,22.22222222222222,23.139999999999986,73.45445,19.455555555555556,1449.5538778311598,19.414459999999984,60.01037037037037,173.6591179976162,1.10375,1.4495538778311599,77.9689,64,9.03491498187007,3.0,3.0,2.0
6.77,7791,1383,2568,4,77.8,71.3,81.55,77.91,69.15,85.6,66.66666666666666,71.56,63.535605,54.36666666666666,1856.8329718004338,55.752396,75.40611111111112,177.51251443973814,1.6925,1.856832971800434,45.832899999999995,16,8.960852845322371,2.0,3.0,1.0
6.36,4000,1645,1398,7,64.4,54.18,75.4,40.0,82.25,46.6,33.33333333333333,95.67999999999999,30.16,25.13333333333333,849.8480243161094,38.272,62.21055555555555,411.25,0.9085714285714286,0.8498480243161094,40.449600000000004,49,8.294299608857235,2.0,1.0,2.0
6.47,3585,1614,2499,4,45.0,60.97,77.05,35.85,80.7,83.3,66.66666666666666,69.4,27.622425,51.36666666666666,1548.3271375464683,24.879900000000003,68.82777777777778,450.2092050209205,1.6175,1.5483271375464684,41.860899999999994,16,8.184792654165078,2.0,1.0,1.0
7.8,9695,1742,2253,9,51.8,72.28,97.0,96.95,87.1,75.1,11.11111111111111,81.63999999999999,94.0415,10.777777777777779,1293.340987370838,79.14997999999999,74.81685185185184,179.68024755028364,0.8666666666666667,1.2933409873708381,60.839999999999996,81,9.179468708309095,3.0,3.0,2.0
7.55,500,2254,1814,7,90.7,53.25,93.25,5.0,87.3,60.46666666666667,33.33333333333333,48.339999999999996,4.6625,31.08333333333333,804.7914818101153,2.417,54.615,2000.0,1.0785714285714285,0.8047914818101154,57.0025,49,6.2166061010848646,3.0,0.0,2.0
7.62,8616,1932,2713,3,59.6,88.36,94.3,86.16,96.6,90.43333333333334,77.77777777777779,95.68,81.24887999999999,73.34444444444445,1404.2443064182196,82.437888,90.1585185185185,224.23398328690809,2.54,1.4042443064182195,58.0644,9,9.061492275239766,3.0,3.0,0.0
7.65,6566,2079,879,10,67.5,56.02,94.75,65.66,96.05,29.299999999999997,0.0,90.1,62.212849999999996,0.0,422.79942279942276,59.159659999999995,62.64333333333334,316.6311300639659,0.765,0.4227994227994228,58.52250000000001,100,8.789812386190972,3.0,2.0,2.0
10.21,11925,1510,2408,8,79.9,75.41,66.85,100.0,75.5,80.26666666666667,22.22222222222222,67.77999999999999,66.85,14.855555555555554,1594.7019867549668,67.77999999999999,68.76981481481481,126.62473794549265,1.27625,1.594701986754967,104.24410000000002,64,9.386476169683052,2.0,4.0,2.0
6.39,6520,1815,3172,5,89.8,75.03,75.85,65.2,90.75,100.0,55.55555555555556,49.96,49.4542,42.138888888888886,1747.658402203857,32.57392,72.88592592592592,278.37423312883436,1.278,1.7476584022038568,40.8321,25,8.782783017393202,2.0,2.0,1.0
6.23,9978,2235,3064,2,69.6,84.86,73.45,99.78,88.25,100.0,88.88888888888889,86.32000000000001,73.28841,65.28888888888889,1370.9172259507832,86.13009600000001,89.44814814814816,223.99278412507516,3.115,1.370917225950783,38.812900000000006,4,9.208238163884312,2.0,3.0,0.0
5.78,6809,2238,2434,10,67.1,58.96,66.7,68.08999999999999,88.1,81.13333333333334,0.0,90.82000000000001,45.41602999999999,0.0,1087.5781948168008,61.839338,65.80722222222222,328.6826259362608,0.5780000000000001,1.0875781948168006,33.4084,100,8.826147399143558,1.0,2.0,2.0
7.92,8341,1710,2019,8,72.9,69.95,98.8,83.41,85.5,67.30000000000001,22.22222222222222,80.38,82.40907999999999,21.955555555555552,1180.701754385965,67.044958,72.93537037037036,205.0113895216401,0.99,1.1807017543859648,62.7264,64,9.02905827475689,3.0,3.0,2.0
8.69,10211,2065,1819,7,64.5,83.8,89.65,100.0,96.75,60.633333333333326,33.33333333333333,95.5,89.65,29.88333333333333,880.8716707021792,95.5,79.3111111111111,202.232886103222,1.2414285714285713,0.8808716707021792,75.5161,49,9.231318778361375,3.0,4.0,2.0
6.83,6612,2880,2018,9,65.1,61.26,82.45,66.12,56.0,67.26666666666667,11.11111111111111,94.42000000000002,54.51594000000001,9.161111111111111,700.6944444444445,62.43050400000002,62.89462962962963,435.5716878402904,0.758888888888889,0.7006944444444444,46.6489,81,8.796792687674662,2.0,2.0,2.0
5.74,10990,1993,2526,7,76.9,75.17,66.1,100.0,99.65,84.2,33.33333333333333,73.17999999999999,66.1,22.03333333333333,1267.4360260913195,73.17999999999999,76.07722222222222,181.3466787989081,0.8200000000000001,1.2674360260913196,32.9476,49,9.3048320350689,1.0,4.0,2.0
5.76,5019,1723,1716,3,74.2,64.36,66.4,50.19,86.15,57.199999999999996,77.77777777777779,78.03999999999999,33.32616,51.64444444444445,995.937318630296,39.168276,69.29296296296296,343.29547718669056,1.92,0.995937318630296,33.1776,9,8.521185212685776,1.0,2.0,0.0
7.98,8884,1930,2654,3,97.6,80.26,99.7,88.84,96.5,88.46666666666667,77.77777777777779,35.92,88.57348,77.54444444444445,1375.1295336787566,31.911328000000005,81.20074074074074,217.24448446645656,2.66,1.3751295336787566,63.680400000000006,9,9.092119740588751,3.0,3.0,0.0
8.11,10768,2037,3480,1,77.3,100.0,98.35000000000001,100.0,98.15,100.0,100.0,72.46000000000001,98.35,98.35,1708.3946980854198,72.46000000000001,94.82666666666667,189.17161961367012,8.11,1.7083946980854197,65.7721,1,9.284426915328881,3.0,4.0,0.0
7.81,9980,1940,2163,1,85.8,90.42,97.14999999999999,99.8,97.0,72.1,100.0,57.160000000000004,96.9557,97.15,1114.9484536082475,57.045680000000004,87.20166666666665,194.3887775551102,7.81,1.1149484536082475,60.99609999999999,1,9.208438564686587,3.0,3.0,0.0
6.0,13749,1987,1393,8,59.1,64.63,70.0,100.0,99.35,46.43333333333333,22.22222222222222,94.78,70.0,15.555555555555554,701.0568696527428,94.78,72.13092592592592,144.51960142555822,0.75,0.7010568696527428,36.0,64,9.528794103094718,1.0,4.0,2.0
7.35,5710,1423,1393,9,78.3,59.27,90.25,57.099999999999994,71.15,46.43333333333333,11.11111111111111,70.66,51.53274999999999,10.027777777777777,978.9177793394238,40.34685999999999,57.78407407407408,249.2119089316988,0.8166666666666667,0.9789177793394237,54.022499999999994,81,8.650149418664864,3.0,2.0,2.0
7.18,3863,1615,2666,2,63.3,72.62,87.69999999999999,38.629999999999995,80.75,88.86666666666667,88.88888888888889,97.66000000000001,33.87850999999999,77.95555555555553,1650.7739938080495,37.726057999999995,80.41592592592592,418.0688584002071,3.59,1.6507739938080495,51.5524,4,8.259458195332408,3.0,1.0,0.0
7.33,5017,1940,2164,6,76.7,71.75,89.95,50.17,97.0,72.13333333333334,44.44444444444444,73.53999999999999,45.127915,39.97777777777778,1115.4639175257732,36.89501799999999,71.20629629629629,386.68527008172214,1.2216666666666667,1.1154639175257732,53.7289,36,8.520786726926367,3.0,2.0,1.0
8.31,9981,1934,2726,2,80.3,95.7,95.35,99.81,96.7,90.86666666666666,88.88888888888889,67.06,95.168835,84.75555555555555,1409.5139607032058,66.932586,89.77925925925926,193.7681595030558,4.155,1.409513960703206,69.05610000000001,4,9.208538750029554,3.0,3.0,0.0
7.34,9494,1774,1880,5,72.6,73.68,90.1,94.94,88.7,62.66666666666667,55.55555555555556,80.92000000000002,85.54093999999999,50.05555555555556,1059.7519729425028,76.82544800000001,78.81370370370371,186.8548556983358,1.468,1.059751972942503,53.8756,25,9.158520623246385,3.0,3.0,1.0
8.02,8307,1929,2698,8,100.9,73.34,99.7,83.07,96.45,89.93333333333334,22.22222222222222,29.97999999999999,82.82079,22.155555555555555,1398.6521513737687,24.90438599999999,70.22592592592592,232.21379559407728,1.0025,1.3986521513737689,64.32039999999999,64,9.024974184996003,3.0,3.0,2.0
7.1,4631,2024,2105,9,89.1,60.37,86.5,46.31,98.8,70.16666666666667,11.11111111111111,51.220000000000006,40.05815,9.61111111111111,1040.0197628458498,23.719982000000005,60.68462962962963,437.0546318289786,0.7888888888888889,1.0400197628458498,50.41,81,8.440744019252831,3.0,1.0,2.0
7.43,10301,2356,1760,10,86.1,72.07,91.44999999999999,100.0,82.2,58.666666666666664,0.0,56.62000000000001,91.44999999999999,0.0,747.0288624787777,56.62000000000001,64.82277777777777,228.71565867391516,0.743,0.7470288624787776,55.204899999999995,100,9.24009333012553,3.0,4.0,2.0
7.95,4326,1960,1959,4,81.2,68.64,99.25,43.26,98.0,65.3,66.66666666666666,65.44,42.93554999999999,66.16666666666666,999.4897959183673,28.309343999999996,72.98611111111111,453.074433656958,1.9875,0.9994897959183674,63.2025,16,8.372629740224884,3.0,1.0,1.0
4.81,11477,2160,1482,10,93.2,57.94,52.14999999999999,100.0,92.0,49.4,0.0,43.839999999999996,52.14999999999999,0.0,686.1111111111111,43.84,56.231666666666655,188.20249194040255,0.481,0.6861111111111111,23.136099999999995,100,9.348187438668308,0.0,4.0,2.0
6.52,16572,1783,3394,8,54.8,73.8,77.8,100.0,89.15,100.0,22.22222222222222,87.03999999999999,77.8,17.288888888888888,1903.5333707234997,87.04,79.36870370370372,107.59111754767078,0.815,1.9035333707234998,42.5104,64,9.715530144123544,2.0,4.0,2.0
6.29,9099,2229,2142,4,88.4,69.03,74.35,90.99000000000001,88.55,71.39999999999999,66.66666666666666,52.47999999999999,67.651065,49.56666666666665,960.9690444145356,47.75155199999999,74.07277777777777,244.97197494230136,1.5725,0.9609690444145357,39.5641,16,9.116029692504942,2.0,3.0,1.0
6.04,9749,2150,2587,4,60.1,78.36,70.6,97.49,92.5,86.23333333333333,66.66666666666666,96.58,68.82793999999998,47.06666666666666,1203.2558139534883,94.15584199999999,85.01166666666667,220.53543953225972,1.51,1.2032558139534884,36.4816,16,9.185022563991893,2.0,3.0,1.0
6.59,6521,2346,1878,2,65.2,73.96,78.85,65.21000000000001,82.7,62.6,88.88888888888889,94.24,51.418085,70.08888888888887,800.5115089514067,61.453904,78.74814814814816,359.76077288759393,3.295,0.8005115089514067,43.4281,4,8.782936356349264,2.0,2.0,0.0
9.24,2569,2285,1569,10,78.7,52.61,81.4,25.69,85.75,52.300000000000004,0.0,69.94,20.91166,0.0,686.652078774617,17.967586,52.51333333333334,889.4511483067341,0.924,0.6866520787746171,85.3776,100,7.851661177889265,2.0,1.0,2.0
5.7,6192,2235,2060,3,86.8,67.49,65.5,61.919999999999995,88.25,68.66666666666667,77.77777777777779,55.36000000000001,40.5576,50.94444444444445,921.7002237136466,34.278912,69.57907407407407,360.9496124031008,1.9000000000000001,0.9217002237136466,32.49,9,8.731174900938061,1.0,2.0,0.0
8.45,4721,1961,2861,3,58.2,84.29,93.25000000000001,47.21,98.05,95.36666666666666,77.77777777777779,93.16000000000001,44.02332500000001,72.52777777777779,1458.949515553289,43.98083600000001,84.13574074074074,415.37809786062274,2.8166666666666664,1.4589495155532892,71.40249999999999,9,8.459987717645458,3.0,1.0,0.0
4.48,3659,2098,1888,5,65.8,57.02,47.2,36.59,95.1,62.93333333333333,55.55555555555556,93.16000000000001,17.270480000000003,26.222222222222225,899.904671115348,34.087244000000005,65.08981481481482,573.380705110686,0.8960000000000001,0.899904671115348,20.070400000000003,25,8.205218426395412,0.0,1.0,1.0
6.5,13167,2425,1678,2,73.2,76.17,77.5,100.0,78.75,55.93333333333334,88.88888888888889,79.83999999999999,77.5,68.88888888888889,691.958762886598,79.83999999999999,80.15203703703703,184.17255259360522,3.25,0.691958762886598,42.25,4,9.485544922916851,2.0,4.0,0.0
7.24,8819,1739,2293,9,69.8,68.55,88.60000000000001,88.19,86.95,76.43333333333334,11.11111111111111,85.96000000000001,78.13634,9.844444444444445,1318.5738930419782,75.808124,72.87407407407407,197.18788978342215,0.8044444444444445,1.3185738930419781,52.4176,81,9.084777149000837,3.0,3.0,2.0
7.88,9139,1749,2499,7,82.2,75.18,98.2,91.39,87.45,83.3,33.33333333333333,63.63999999999999,89.74498,32.73333333333333,1428.8164665523154,58.160596,76.21888888888888,191.37761243024403,1.1257142857142857,1.4288164665523155,62.0944,49,9.120415664448196,3.0,3.0,2.0
8.07,7073,2073,3186,2,113.2,81.6,98.94999999999999,70.73,96.35,100.0,88.88888888888889,7.839999999999989,69.98733499999999,87.95555555555555,1536.9030390738062,5.545231999999993,77.12648148148148,293.08638484377207,4.035,1.536903039073806,65.12490000000001,4,8.864181369765426,3.0,2.0,0.0
8.19,7481,2166,2412,2,77.0,87.33,97.15,74.81,91.7,80.4,88.88888888888889,73.0,72.677915,86.35555555555557,1113.573407202216,54.6113,84.32481481481483,289.5334848282315,4.095,1.113573407202216,67.0761,4,8.920255414908091,3.0,2.0,0.0
6.48,10894,1670,2586,1,63.2,86.75,77.2,100.0,83.5,86.2,100.0,97.83999999999999,77.2,77.2,1548.5029940119762,97.83999999999997,90.79,153.29539195887645,6.48,1.548502994011976,41.99040000000001,1,9.29605924737872,2.0,4.0,0.0
6.31,7903,1970,2632,10,56.4,60.37,74.64999999999999,79.03,98.5,87.73333333333333,0.0,89.92,58.99589499999999,0.0,1336.0406091370558,71.063776,71.6388888888889,249.2724281918259,0.631,1.3360406091370558,39.81609999999999,100,8.975124239427704,2.0,3.0,2.0
8.29,9592,1962,1508,5,68.1,78.68,95.65,95.92,98.1,50.26666666666667,55.55555555555556,89.02000000000001,91.74748000000001,53.13888888888889,768.6034658511722,85.38798400000002,80.75203703703703,204.54545454545453,1.658,0.7686034658511722,68.72409999999999,25,9.168788944817948,3.0,3.0,1.0
6.71,7412,1114,1622,7,60.7,60.76,80.65,74.11999999999999,55.7,54.06666666666666,33.33333333333333,97.66000000000001,59.77777999999999,26.88333333333333,1456.0143626570914,72.385592,65.92166666666667,150.29681597409606,0.9585714285714285,1.4560143626570916,45.0241,49,8.910990494656719,2.0,2.0,2.0
5.09,6974,1912,1550,2,77.6,71.17,56.349999999999994,69.74000000000001,95.6,51.66666666666667,88.88888888888889,71.92000000000002,39.29849,50.088888888888874,810.6694560669456,50.15700800000001,72.36092592592594,274.1611700602237,2.545,0.8106694560669456,25.908099999999997,4,8.850087606689566,1.0,2.0,0.0
5.3,3779,1937,1401,3,77.4,63.55,59.5,37.79,96.85,46.7,77.77777777777779,72.27999999999999,22.48505,46.277777777777786,723.2834279814145,27.314611999999993,65.14962962962962,512.5694628208521,1.7666666666666666,0.7232834279814145,28.09,9,8.237479288613633,1.0,1.0,0.0
5.62,2067,1936,2677,6,66.4,64.76,64.30000000000001,20.669999999999998,96.8,89.23333333333333,44.44444444444444,92.07999999999998,13.29081,28.577777777777783,1382.7479338842975,19.032935999999996,67.92129629629629,936.6231253023705,0.9366666666666666,1.3827479338842976,31.584400000000002,36,7.63433723562832,1.0,0.0,1.0
7.75,7215,2566,2374,3,95.8,74.22,96.25,72.15,71.7,79.13333333333334,77.77777777777779,39.160000000000004,69.44437500000001,74.86111111111113,925.1753702260328,28.253940000000007,72.6951851851852,355.64795564795565,2.5833333333333335,0.9251753702260327,60.0625,9,8.88405606174246,3.0,2.0,0.0
7.21,8169,1514,2248,7,63.2,72.4,88.15,81.69,75.7,74.93333333333332,33.33333333333333,97.83999999999999,72.009735,29.38333333333333,1484.8084544253632,79.92549599999998,75.27444444444444,185.33480230138326,1.03,1.4848084544253632,51.9841,49,9.008224187854049,3.0,3.0,2.0
8.04,4142,1670,644,10,70.6,47.3,99.4,41.42,83.5,21.46666666666667,0.0,84.52000000000001,41.17148,0.0,385.6287425149701,35.00818400000001,55.05111111111111,403.18686624818923,0.8039999999999999,0.38562874251497004,64.64159999999998,100,8.329175442077402,3.0,1.0,2.0
6.36,7897,1000,3433,4,79.7,71.7,75.4,78.97,50.0,100.0,66.66666666666666,68.13999999999999,59.543380000000006,50.26666666666666,3433.0,53.810157999999994,73.19611111111111,126.63036596175762,1.59,3.433,40.449600000000004,16,8.974364841846596,2.0,3.0,1.0
7.24,8161,1808,1663,7,82.7,63.85,88.60000000000001,81.61,90.4,55.43333333333334,33.33333333333333,62.739999999999995,72.30646,29.53333333333333,919.8008849557522,51.202113999999995,68.68611111111112,221.54147776007844,1.0342857142857143,0.9198008849557522,52.4176,49,9.00724451596575,3.0,3.0,2.0
7.94,1532,1842,3431,10,87.3,56.45,99.10000000000001,15.32,92.1,100.0,0.0,54.46,15.182120000000003,0.0,1862.6492942453854,8.343272,60.16333333333333,1202.349869451697,0.794,1.8626492942453854,63.043600000000005,100,7.334981878871814,3.0,0.0,2.0
6.54,5255,1796,1330,9,77.1,62.87,78.1,52.55,89.8,44.333333333333336,11.11111111111111,72.82000000000001,41.04155,8.677777777777777,740.5345211581291,38.26691,58.119074074074064,341.7697431018078,0.7266666666666667,0.7405345211581291,42.7716,81,8.567125560164447,2.0,2.0,2.0
7.69,9222,2443,1713,1,84.6,81.83,95.35000000000001,92.22,77.85,57.099999999999994,100.0,59.32000000000001,87.93177000000001,95.35,701.1870650839132,54.704904000000006,80.30666666666666,264.9099978312731,7.69,0.7011870650839133,59.136100000000006,1,9.129455643235719,3.0,3.0,0.0
6.01,9161,2344,878,2,64.0,69.42,70.15,91.61,82.8,29.26666666666667,88.88888888888889,96.4,64.26441500000001,62.355555555555554,374.5733788395905,88.31204,76.51925925925924,255.86726339919224,3.005,0.37457337883959047,36.1201,4,9.122819774446688,2.0,3.0,0.0
6.46,4539,2031,2417,10,83.0,57.12,76.9,45.39,98.45,80.56666666666666,0.0,62.199999999999996,34.90491,0.0,1190.054160512063,28.23258,60.58444444444444,447.45538664904166,0.646,1.190054160512063,41.7316,100,8.420682291035394,2.0,1.0,2.0
6.43,8475,1852,1539,10,82.9,56.87,76.44999999999999,84.75,92.6,51.300000000000004,0.0,62.37999999999999,64.79137499999999,0.0,830.9935205183585,52.86704999999999,61.24666666666666,218.5250737463127,0.643,0.8309935205183585,41.344899999999996,100,9.04499391938819,2.0,3.0,2.0
5.21,11067,2410,1556,4,90.2,63.14,58.15,100.0,79.5,51.866666666666674,66.66666666666666,49.239999999999995,58.15,38.76666666666666,645.6431535269709,49.23999999999999,67.57055555555554,217.76452516490465,1.3025,0.645643153526971,27.144099999999998,16,9.311813340906816,1.0,4.0,1.0
7.73,10331,1992,1376,6,52.0,81.52,95.95,100.0,99.6,45.86666666666667,44.44444444444444,82.0,95.95,42.644444444444446,690.7630522088353,82.0,77.97685185185185,192.81773303649211,1.2883333333333333,0.6907630522088354,59.752900000000004,36,9.243001154215731,3.0,4.0,1.0
6.3,7714,1673,2666,6,61.1,74.01,74.5,77.14,83.65,88.86666666666667,44.44444444444444,98.38,57.469300000000004,33.11111111111111,1593.5445307830244,75.890332,77.83018518518519,216.87840290381124,1.05,1.5935445307830245,39.69,36,8.950921764797261,2.0,3.0,1.0
7.02,6596,1314,2627,7,81.9,65.42,85.3,65.96,65.7,87.56666666666668,33.33333333333333,64.17999999999998,56.26387999999999,28.43333333333333,1999.2389649923896,42.33312799999998,67.00666666666666,199.2116434202547,1.002857142857143,1.9992389649923896,49.28039999999999,49,8.794370279222871,3.0,2.0,2.0
7.72,6112,1823,3287,8,45.0,68.04,95.8,61.12,91.15,100.0,22.22222222222222,69.4,58.55295999999999,21.288888888888888,1803.071859572134,42.41728,73.28203703703703,298.2657068062827,0.965,1.8030718595721338,59.5984,64,8.718172930028725,3.0,2.0,2.0
7.67,9403,2302,1789,4,77.9,76.74,95.05,94.03,84.9,59.63333333333334,66.66666666666666,71.38,89.375515,63.36666666666665,777.1503040834057,67.118614,78.61,244.81548441986598,1.9175,0.7771503040834057,58.8289,16,9.14889040965996,3.0,3.0,1.0
8.0,8585,2911,2331,9,84.7,68.99,100.0,85.85000000000001,54.45,77.7,11.11111111111111,59.13999999999999,85.85,11.11111111111111,800.7557540364136,50.77169,64.70851851851852,339.0797903319743,0.8888888888888888,0.8007557540364136,64.0,81,9.057888248784506,3.0,3.0,2.0
6.85,9888,2025,1426,1,65.1,84.76,82.75,98.88,98.75,47.53333333333333,100.0,94.42000000000002,81.8232,82.75,704.1975308641976,93.36249600000001,87.05555555555554,204.79368932038835,6.85,0.7041975308641976,46.92249999999999,1,9.19917830726999,2.0,3.0,0.0
6.37,8396,1694,1999,1,66.8,70.3,75.55,83.96000000000001,84.7,66.63333333333334,100.0,91.36,63.43178000000001,75.55,1180.047225501771,76.705856,83.70055555555555,201.76274416388753,6.37,1.1800472255017709,40.5769,1,9.035629778183564,2.0,3.0,0.0
6.88,10456,1526,1889,10,59.1,71.5,83.2,100.0,76.3,62.96666666666667,0.0,94.78,83.2,0.0,1237.8768020969856,94.78,69.5411111111111,145.9449120122418,0.688,1.2378768020969855,47.334399999999995,100,9.25502688959859,2.0,4.0,2.0
